"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10596","test_login_fail[empty_password-Required]","tests","2026-08-15","passed","2026-08-15","TestLogin","test_login","",""
"","2280","test_login_fail[wrong_password-Invalid credentials]","tests","2026-08-15","passed","2026-08-15","TestLogin","test_login","",""
"","23609","test_create_duplicate_username","tests.admin","2026-08-15","passed","2026-08-15","TestUserManagement","test_user_management","",""
"","1838","test_login_fail[wrong_both-Invalid credentials]","tests","2026-08-15","passed","2026-08-15","TestLogin","test_login","",""
"","22047","test_create_new_user","tests.admin","2026-08-15","passed","2026-08-15","TestUserManagement","test_user_management","",""
"","2139","test_login_success","tests","2026-08-15","passed","2026-08-15","TestLogin","test_login","",""
"","10502","test_create_user_without_username","tests.admin","2026-08-15","passed","2026-08-15","TestUserManagement","test_user_management","",""
"","3905","test_logout","tests","2026-08-15","passed","2026-08-15","TestLogin","test_login","",""
"","10625","test_login_fail[empty_both-Required]","tests","2026-08-15","passed","2026-08-15","TestLogin","test_login","",""
"","1832","test_login_fail[wrong_username-Invalid credentials]","tests","2026-08-15","passed","2026-08-15","TestLogin","test_login","",""
"","3174","test_view_list_of_users","tests.admin","2026-08-15","passed","2026-08-15","TestUserManagement","test_user_management","",""
"","10646","test_login_fail[empty_username-Required]","tests","2026-08-15","passed","2026-08-15","TestLogin","test_login","",""
