"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Create a new ESS user","tests.admin","2026-08-18","broken","2026-08-18","TestUserManagement","test_user_management","",""
"","13363","Login failed with empty_both credentials","tests","2026-08-18","passed","2026-08-18","TestLogin","test_login","",""
"","49205","Bulk delete users","tests.admin","2026-08-18","passed","2026-08-18","TestUserManagement","test_user_management","",""
"","10794","Login failed with empty_password credentials","tests","2026-08-18","passed","2026-08-18","TestLogin","test_login","",""
"","27151","Create user with duplicate username","tests.admin","2026-08-18","passed","2026-08-18","TestUserManagement","test_user_management","",""
"","2202","Login successfully with valid admin credentials","tests","2026-08-18","passed","2026-08-18","TestLogin","test_login","",""
"","3502","Login failed with wrong_username credentials","tests","2026-08-18","passed","2026-08-18","TestLogin","test_login","",""
"","11166","Login failed with empty_username credentials","tests","2026-08-18","passed","2026-08-18","TestLogin","test_login","",""
"","8541","View list of users","tests.admin","2026-08-18","passed","2026-08-18","TestUserManagement","test_user_management","",""
"","4018","Search for non-existent user","tests.admin","2026-08-18","passed","2026-08-18","TestUserManagement","test_user_management","",""
"","6172","Login failed with wrong_password credentials","tests","2026-08-18","passed","2026-08-18","TestLogin","test_login","",""
"","4596","Login failed with wrong_both credentials","tests","2026-08-18","passed","2026-08-18","TestLogin","test_login","",""
"","16667","Edit user role","tests.admin","2026-08-18","broken","2026-08-18","TestUserManagement","test_user_management","",""
"","18833","Search for user by role","tests.admin","2026-08-18","passed","2026-08-18","TestUserManagement","test_user_management","",""
"","12195","Create user without username","tests.admin","2026-08-18","passed","2026-08-18","TestUserManagement","test_user_management","",""
"","4327","Logout successfully","tests","2026-08-18","passed","2026-08-18","TestLogin","test_login","",""
"","17369","Search for user by username","tests.admin","2026-08-18","passed","2026-08-18","TestUserManagement","test_user_management","",""
"","19533","Delete single user","tests.admin","2026-08-18","passed","2026-08-18","TestUserManagement","test_user_management","",""
